No.,Player,Flag,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Salary,Draft,Player-additional
37,Patrice Bergeron (C),ca,F,37,1-Jun,195,R/-,18,July 24 1985,15 G 15 A 30 P,"$1,500,000 ",2003 BOS 2nd (45),bergepa01
25,Brandon Carlo,us,D,26,5-Jun,212,R/-,6,November 26 1996,1 G 5 A 6 P,"$3,500,000 ",2015 BOS 2nd (37),carlobr01
75,Connor Clifton,us,D,27,11-May,175,R/-,4,April 28 1995,3 G 9 A 12 P,"$900,000 ",2013 PHX 5th (133),cliftco01
13,Charlie Coyle,us,F,30,3-Jun,200,R/-,10,March 2 1992,9 G 10 A 19 P,"$3,000,000 ",2010 SJS 1st (28),coylech01
74,Jake DeBrusk,ca,F,26,Jun-00,188,L/-,5,October 17 1996,16 G 14 A 30 P,"$4,000,000 ",2015 BOS 1st (14),debruja01
17,Nick Foligno,us,F,35,Jun-00,210,L/-,15,October 31 1987,6 G 10 A 16 P,"$2,800,000 ",2006 OTT 1st (28),foligni01
28,Derek Forbort,us,D,30,4-Jun,219,L/-,7,March 4 1992,2 G 5 A 7 P,"$2,500,000 ",2010 LAK 1st (15),forbode01
11,Trent Frederic,us,F,24,2-Jun,203,L/-,4,February 11 1998,7 G 7 A 14 P,"$1,150,000 ",2016 BOS 1st (29),fredetr01
10,A.J. Greer,ca,F,26,3-Jun,210,L/-,5,December 14 1996,3 G 4 A 7 P,N/A,2015 COL 2nd (39),greeraj01
48,Matt Grzelcyk,us,D,29,9-May,174,L/-,6,January 5 1994,1 G 9 A 10 P,"$4,250,000 ",2012 BOS 3rd (85),grzelma01
71,Taylor Hall,ca,F,31,1-Jun,206,L/-,12,November 14 1991,13 G 15 A 28 P,"$6,000,000 ",2010 EDM 1st (1),hallta02
46,David Krejci,cs,F,36,Jun-00,188,R/-,15,April 28 1986,10 G 18 A 28 P,"$1,000,000 ",2004 BOS 2nd (63),krejcda01
27,Hampus Lindholm,se,D,29,4-Jun,216,L/-,9,January 20 1994,4 G 23 A 27 P,"$5,250,000 ",2012 ANA 1st (6),lindhha01
21,Fabian Lysell,se,F,20,10-May,172,R/-,R,January 19 2003,,"$832,500 ",2021 BOS 1st (21),lyselfa01
63,Brad Marchand,ca,F,34,9-May,181,L/-,13,May 11 1988,10 G 21 A 31 P,"$2,000,000 ",2006 BOS 3rd (71),marchbr03
73,Charlie McAvoy,us,D,25,Jun-00,208,R/-,5,December 21 1997,2 G 17 A 19 P,"$6,000,000 ",2016 BOS 1st (14),mcavoch01
92,Tomas Nosek,cs,F,30,2-Jun,205,L/-,7,September 1 1992,3 G 4 A 7 P,"$2,000,000 ",,nosekto01
88,David Pastrnak,cz,F,26,Jun-00,194,R/-,8,May 25 1996,25 G 25 A 50 P,"$4,400,000 ",2014 BOS 1st (25),pastrda01
12,Craig Smith,us,F,33,1-Jun,208,R/-,11,September 5 1989,1 G 3 A 4 P,"$4,300,000 ",2009 NSH 4th (98),smithcr01
1,Jeremy Swayman,us,G,24,2-Jun,184,-/L,2,November 24 1998,7-3-3 2.68 GAA,"$832,500 ",2017 BOS 4th (111),swaymje01
35,Linus Ullmark,se,G,29,4-Jun,215,-/L,7,July 31 1993,21-1-1 1.86 GAA,"$5,000,000 ",2012 BUF 6th (163),ullmali01
18,Pavel Zacha,cz,F,25,3-Jun,210,L/-,7,April 6 1997,5 G 18 A 23 P,"$3,500,000 ",2015 NJD 1st (6),zachapa01
67,Jakub Zboril,cz,D,25,Jun-00,200,L/-,3,February 21 1997,1 G 0 A 1 P,"$975,000 ",2015 BOS 1st (13),zborija01